direction,input_mode,causal,seqlen,batch_size,num_seqs,total_tokens,max_seqlen,dtype,head_dim,nheads_q,nheads_kv,impl,ms,tflops,gbps,seq_lengths
forward,batched,False,512,32,32,16384,512,bf16,512,32,4,SplitD,1.9659679412841797,279.6362048146608,614.4350203447137,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
forward,batched,False,512,32,32,16384,512,bf16,512,32,4,SDPA,3.880691146850586,141.6644079841705,311.27433394959337,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
forward,varlen,False,512,32,32,16384,768,bf16,512,32,4,SplitD,2.363259124755859,254.43482483204966,511.1413891715283,256;256;256;256;384;384;384;384;384;384;384;384;512;512;512;512;512;512;512;512;640;640;640;640;640;640;640;640;768;768;768;768
backward,batched,False,512,32,32,16384,512,bf16,512,32,4,SplitD,15.293403625488281,89.86812670198647,122.86657947537212,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,batched,False,512,32,32,16384,512,bf16,512,32,4,SDPA,27.41751708984375,50.12815457418331,68.53458633189125,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,batched,False,512,32,32,16384,512,bf16,512,32,4,Flex,27.158847045898437,50.60559207087409,69.18733290939817,512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
backward,varlen,False,512,32,32,16384,768,bf16,512,32,4,SplitD,17.141110229492188,87.69785232543445,109.62231540679308,256;256;256;256;384;384;384;384;384;384;384;384;512;512;512;512;512;512;512;512;640;640;640;640;640;640;640;640;768;768;768;768
forward,batched,False,1024,16,16,16384,1024,bf16,512,32,4,SplitD,3.6333423614501954,302.61712726051667,332.46510563289183,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
forward,batched,False,1024,16,16,16384,1024,bf16,512,32,4,SDPA,8.101700592041016,135.71368323042483,149.09950550217576,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
forward,varlen,False,1024,16,16,16384,1536,bf16,512,32,4,SplitD,4.341955184936523,274.9915320246346,278.2063610860736,512;640;640;768;768;896;896;1024;1024;1152;1152;1280;1280;1408;1408;1536
backward,batched,False,1024,16,16,16384,1024,bf16,512,32,4,SplitD,29.64519348144531,92.7225882725454,63.384581826935325,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,batched,False,1024,16,16,16384,1024,bf16,512,32,4,SDPA,49.32115173339844,55.73225630046732,38.09822208039758,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,batched,False,1024,16,16,16384,1024,bf16,512,32,4,Flex,58.28324584960937,47.1624225687908,32.239937302884336,1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024;1024
backward,varlen,False,1024,16,16,16384,1536,bf16,512,32,4,SplitD,33.4505615234375,89.23623804128148,56.17389085332468,512;640;640;768;768;896;896;1024;1024;1152;1152;1280;1280;1408;1408;1536
forward,batched,False,2048,8,8,16384,2048,bf16,512,32,4,SplitD,7.607129669189453,289.07398074973366,158.79308024582542,2048;2048;2048;2048;2048;2048;2048;2048
forward,batched,False,2048,8,8,16384,2048,bf16,512,32,4,SDPA,16.31013641357422,134.82555876858567,74.06189141340765,2048;2048;2048;2048;2048;2048;2048;2048
forward,varlen,False,2048,8,8,16384,3072,bf16,512,32,4,SplitD,8.767630767822265,277.7542213307501,137.77491137438003,1024;1280;1664;1920;2176;2432;2816;3072
backward,batched,False,2048,8,8,16384,2048,bf16,512,32,4,SplitD,58.662408447265626,93.71517952287982,32.03155550098431,2048;2048;2048;2048;2048;2048;2048;2048
backward,batched,False,2048,8,8,16384,2048,bf16,512,32,4,SDPA,91.29722290039062,60.216049998345326,20.58165771427819,2048;2048;2048;2048;2048;2048;2048;2048
backward,batched,False,2048,8,8,16384,2048,bf16,512,32,4,Flex,113.0031494140625,48.6496010720553,16.62828161642515,2048;2048;2048;2048;2048;2048;2048;2048
backward,varlen,False,2048,8,8,16384,3072,bf16,512,32,4,SplitD,65.65717163085938,92.72583620124352,28.619085247297384,1024;1280;1664;1920;2176;2432;2816;3072
forward,batched,False,4096,4,4,16384,4096,bf16,512,32,4,SplitD,16.256419372558593,270.54214155720274,74.3066184696907,4096;4096;4096;4096
forward,batched,False,4096,4,4,16384,4096,bf16,512,32,4,SDPA,33.57963256835937,130.9736341560833,35.972983014060965,4096;4096;4096;4096
forward,varlen,False,4096,4,4,16384,6144,bf16,512,32,4,SplitD,18.920980834960936,264.33563142512037,63.84233262199664,2048;3456;4736;6144
backward,batched,False,4096,4,4,16384,4096,bf16,512,32,4,SplitD,119.64034423828124,91.90140957686997,15.705807300734614,4096;4096;4096;4096
